nev	style
Ciurlionis, Mikalojus	Painting, Symbolism, Lithuania, 19th Century
Clarke, Harry	Illustration, Stained Glass, Ireland
Clive, Henry	Illustration, Cover Art, Portrait, Australia, USA
Cloonan, Becky	Comic, DC Comics, B&W, USA
Cobb, Ron	Illustration, Character Design, Concept Art, USA
Coburn, Alvin Langdon	Photography, Portrait, B&W, USA
Cold, Chris	Illustration, Concept Art, Game Art, Spain
Conder, Charles Edward	Painting, Oil, Landscape, Portrait, Impressionism, UK, 19th Century
Condo, George	Painting, Oil, Portrait, Cubism, USA
Constable, John	Painting, Oil, Landscape, UK, 18th Century
Coomber, Yvonne	Painting, Oil, Botanical, UK
Corben, Richard	Comic, DC Comics, Marvel, Horror, USA
Corfield, Paul	Painting, Landscape, UK
Corinth, Lovis	Painting, Oil, Portrait, Impressionism, Expressionism, Germany, 19th Century
Corot, Jean-Baptiste Camille	Painting, Oil, Landscape, Realism, France, 18th Century
Coss, Shawn	Illustration, USA
Cossa, Francesco del	Painting, Oil, Portrait, Mythology, Italy, 15th Century
Crane, Walter	Illustration, Painting, Art Nouveau, Children's Book, UK, 19th Century
Crepax, Guido	Illustration, Comic, Graphic Novel, Cover Art, Nudity, B&W, Italy
Crewdson, Gregory	Photography, Portrait, Realism, USA
Criswell, Debbie	Painting, USA
Crosby, Njideka Akunyili	Painting, Oil, Acrylic, Pastels, Collage, Portrait, Nigeria, USA
Cross, Henri Edmond	Painting, Oil, Watercolor, Landscape, Pointillism, France, 19th Century
Crécy, Nicolas de	Comic, Disney, France
Currin, John	Painting, Oil, Portrait, Nudity, USA
Cézanne, Paul	Painting, Oil, Landscape, Portrait, Cubism, Impressionism, France, 19th Century
Da Vinci, Leonardo	Painting, Oil, Portrait, Landscape, Sculpture, Italy, 15th Century
DaLuz, Steven	Painting, USA
Daeni, Pino	Illustration, Painting, Portrait, Cover Art, Italy
Dahl-Wolfe, Louise	Photography, Fashion, USA
Dalrymple, Farel	Illustration, Watercolor, Author, Comic, Graphic Novel, DC Comics, Marvel, Cover Art, USA
Darger, Henry	Illstration, Watercolor, Author, USA
Darrow, Geof	Illustration, Comic, Graphic Novel, Cover Art, USA
Daumier, Honoré	Illustration, Cartoon, Lithography, Ink, France, 19th Century
David, Jacques-Louis	Painting, Oil, Portrait, Neoclassicism, France, 18th Century
Davis, Jack	Comic, Mad Magazine, USA
Davis, Marc	Illustration, Animation, Character Design, Disney
Davison, Craig	Illustration, Comic, UK
De Morgan, Evelyn	Painting, Oil, Symbolism, Romanticism, UK, 19th Century
De Ro, Jonas	Illustration, Concept Art, Belgium
DeConnick, Kelly Sue	Comic, DC Comics, Marvel, USA
DeForge, Michael	Illustration, Comic, Graphic Novel, Canada
Deakin, Edwin	Painting, Oil, Architecture, Landscape, Still Life, UK, USA, 19th Century
Dean, Roger	Illustration, Painting, Acrylic, Fantasy, Cover Art, UK
Degas, Edgar	Painting, Oil, Portrait, Impressionism, France, 19th Century
Delaunay, Robert Victor Félix	Painting, Oil, Watercolor, Pastel, Cubism, Abstract, France
Delort, Nicolas	Illustration, Fantasy, MTG, Game Art, B&W, Canada, France
Delvaux, Paul	Painting, Oil, Ink, Watercolor, Surrealism, Belgium
Delville, Jean	Painting, Symbolism, Belgium, 19th Century
Delvoye, Wim	Concept Art, Belgium
Denis, Maurice	Painting, Symbolism, France, 19th Century
Denning, Guy	Painting, Oil, Street Art, B&W, UK
Deodato, Mike	Comic, DC Comics, Marvel, B&W, Brazil
Detmold, Charles Maurice	Illustration, Watercolor, Ink, UK
Di Fate, Vincent	Illustration, Painting, Fantasy, Sci-Fi, Cover Art, USA
Diefenbach, Karl Wilhelm	Painting, Oil, Portrait, Landscape, Symbolism, Germany, 19th Century
Dillon, Diane	Illustration, Children's Book, Cover Art, USA
Ditko, Steve	Comic, Marvel, USA
Dittmann, Anna	Illustration, Portrait, DC Comics, USA
Doré, Gustave	Illustration, Painting, B&W, France, 19th Century
Douglas, Emory	Illustration, Graphic Design, Print, Cover Art, Poster, USA
Downton, David	Illustration, Fashion, Portrait, UK
Doyle, Tim	Illustration, USA
Driskell, David C.	Painting, Acrylic, Collage, USA
Druillet, Philippe	Illustration, Comic, France
Dubuffet, Jean	Painting, France
Duchamp-Villon, Raymond	Sculpture, Drawing, Ink, France
Duddle, Jonny	Author, Illustration, Children's Book, UK
Dulac, Edmund	Illustration, Watercolor, Ink, France
Durand, Asher Brown	Painting, Oil, Landscape, USA, 19th Century
Dyer, Chris	Painting, Canada
Dürer, Albrecht	Illustration, Engraving, B&W, Germany, 15th Century
Eakins, Thomas	Painting, Oil, Landscape, Portrait, Realism, USA, 19th Century
Earle, Eyvind	Illustration, Painting, Concept Art, Fantasy, Disney, USA
Earles, Amy	Illustration, Painting, Oil, Gouache, USA
Easley, Jeff	Comic, Painting, Oil, Fantasy, Marvel, USA
Eaton, Tristan	Illustration, Street Art, Portrait, USA
Edlin, Tyler	Character Design, Concept Art, Game Art, Fantasy, USA
Edmiston, Jason	Illustration, Painting, Acrylic, Canada
Eggleston, William	Photography, USA
Eggleton, Bob	Illustration, Painting, Fantasy, Sci-Fi, Horror, Cover Art, MTG, USA
Eisner, Will	Comic, USA
El Greco (Domínikos Theotokópoulos)	Painting, Oil, Portrait, Mythology, Greece, 16th Century
El Huervo (Niklas Åkerblad)	Illustration, Painting, Oil, Watercolor, Game Art, Cover Art, Sweden
Ellis, Dean	Illustration, Painting, Sci-Fi, Cover Art, USA
Elsheimer, Adam	Painting, Oil, Portrait, Landscape, Mythology, Germany, 16th Century
Elson, Peter	Illustration, Painting, Sci-Fi, Cover Art, UK
Elvgren, Gil	Illustration, Pin-Ups, USA
Emshwiller, Ed	Illustration, Sci-Fi, USA
Eng, Kilian	Illustration, Sweden
Enjolras, Delphin	Painting, Oil, Pastel, Portrait, Nudity, France
Erni, Hans	Painting, Sculpture, Switzerland
Ernst, Maximilian Maria	Painting, Oil, Dada, Surrealism, Germany, France
Erté (Romain de Tirtoff)	Illustration, Fashion, Cover Art, Art Deco, Russia, France
Escher, Maurits Cornelis	Illustration, Surrealism, B&W, Netherlands
Eversen, Adrianus	Painting, Watercolor, Architecture, Netherlands, 19th Century
Fabry, Glenn	Illustration, Painting, Comic, Acrylic, Gouache, Ink, Cover Art, UK
Fadeev, Anton	Illustration, Concept Art, Fantasy, Russia
Fairey, Shepard	Illustration, Street Art, Portrait, USA
Fairhurst, Andy	Illustration, Character Design, Concept Art, Australia
Falter, John Philip	Illustration, Painting, Oil, Cover Art, USA
Fang, Lijun	Painting, Oil, Surrealism, China
Fantin-Latour, Henri	Painting, Oil, Still Life, Portrait, Botanical, 19th Century, France
Fegredo, Duncan	Comic, UK
Feininger, Lyonel	Painting, Landscape, Expressionism, USA
Ferez, Andrew	Illustration, Fantasy, Russia
Ferri, Roberto	Painting, Oil, Portrait, Nudity, Mythology, Italy
Ferriss, Hugh	Illustration, Architecture, Cityscape, B&W, USA, 19th Century
Finlay, Virgil	Illustration, Fantasy, Sci-Fi, B&W, USA
Finnstark, Anato	Illustration, Concept Art, MTG, France
Fischer, Paul Gustav	Painting, Oil, Landscape, Portrait, Denmark
Fischinger, Oskar	Movie Director, Animation, Abstract, Germany
